System,Format,Type,Magnitude,Period,Time,Duration,Depth,Ratio
396.02,20sec,CP,5.9053,3.583258325832584,2119.083747135459,0.1,0.0002224381316705,0.9945621951495428
402.01,20sec,CP,8.3157,4.7572757275727575,2120.099208676855,0.1,0.0004197199017253,1.091167208569599
481.01,20sec,CP,9.3935,10.336783678367835,2038.5271950814124,0.2,0.0038452692738383,1.0183446274504595
488.01,20sec,CP,11.1972,1.1981698169816983,2964.552188118762,0.05,0.0009037482658542,0.9793615179992224
503.01,20sec,CP,9.19813,3.6768676867686767,2231.202537597605,0.05,0.0031116752623229,0.9541251367960356
540.01,20sec,CP,11.5045,0.7262226222622262,2145.1408787811824,0.25,0.001434411344452,0.9991883570756324
562.01,20sec,CP,8.74094,3.930393039303931,2256.953153118056,0.05,0.0009780114929468,1.1240041789471944
576.01,20sec,CP,8.86849,5.441794179417942,2259.288192139541,0.15,0.0025214177402202,1.0103951461310814
652.01,20sec,CP,7.3635,3.984998499849985,2989.68412570432,0.1,0.0003416882256441,1.0472863379165565
682.01,20sec,CP,9.2231,6.8439843984398445,3016.732138090347,0.15,0.0011437583929522,1.070944313529927
755.01,20sec,CP,9.4628,2.539737232049037,3043.5734269083378,0.1,0.0004594086814665,1.0632707046909693
763.01,20sec,CP,9.5275,8.405252158879254,3046.329852641837,0.33,0.0005743544355462,1.235590871034286
1094.01,20sec,APC,9.9806,0.5972530646403974,2333.8865848042574,0.05,0.0010177256154036,0.8489351672314228
1114.01,20sec,APC,8.1129,2.4891989198919893,2038.621945541036,0.1,0.0033511251782568,1.0002546846224418
1119.01,20sec,APC,10.5024,10.96084608460846,2039.1484757493345,0.1,0.002917211489507,1.0341031822474958
1124.01,20sec,APC,7.2235,3.518901890189019,2037.463461358072,0.1,0.003686178897027,1.058603573818273
140.01,20sec,APC,9.7828,2.2746774677467747,2062.1251790934925,0.33,0.0036750915133864,1.0438751381473268
1425.01,20sec,APC,9.25755,1.0324032403240324,2853.491097274425,0.05,0.0047620193428408,1.0439790364879444
392.01,20sec,APC,8.300901,0.849084908490849,2145.18954743721,0.05,0.0042896838764346,0.9948211107938956
504.01,20sec,APC,9.6646,1.677917791779178,2062.004221697459,0.1,0.0020919328644492,1.028906796654876
