TOI,TIC,Magnitude,20 Period,120 Period,20 Depth,20 Error,120 Depth,120 Error
2373.01,332558858,12.5882,13.3439844,13.34474867,0.009469526,1.35387766,0.009205762,0.53672616
175.01,307210830,9.41242,3.690519052,3.691492034,0.001691326,1.07510263,0.001589993,0.536555555
108.01,289793076,13.163,3.0450045,3.043666338,0.017354274,1.242537691,0.018630406,0.533458941
166.01,147203645,10.7258,5.063456346,5.063369501,0.004032909,0.882434695,0.003906218,0.53067935
1119.01,261369656,10.5024,10.96084608,10.96011269,0.002920662,1.121400817,0.003016698,0.515764766
1233.02,260647166,8.6522,11.25739577,19.59435944,0.001128527,1.096098053,0.001126181,0.515752162
110.01,281459670,11.6714,3.173717372,3.174204954,0.014370393,0.803617884,0.0120923,0.510563811
1903.01,77156657,11.8831,3.840684068,3.842664149,0.005639905,1.155105473,0.005845945,0.498982994
247.01,160148385,11.9116,3.425292529,3.425440541,0.009875375,0.848633241,0.010678005,0.498638729
2000.01,371188886,10.3579,9.129612961,9.123415447,0.003340795,0.939758621,0.003513634,0.495669672
443.01,117979897,12.0682,3.310231023,3.310323607,0.00779381,1.020693046,0.007701717,0.488446095
376.01,144301273,12.4502,2.750525053,2.750751425,0.010333443,1.191251197,0.010394431,0.487915852
167.01,149990841,11.6349,4.4549955,4.452244909,0.010314378,1.16897875,0.005224274,0.482305316
117.01,322307342,11.7806,3.587158716,3.586399324,0.005395014,1.158655053,0.005498481,0.480357199
474.01,59843967,12.7632,2.51650165,2.517121762,0.013881831,0.962337598,0.014063942,0.477694504
1101.01,271581073,10.5891,2.668616862,2.668877936,0.003338907,0.993553047,0.003299087,0.476984816
1408.01,364186197,8.82374,4.425742574,4.425422245,0.001700548,0.808613952,0.001723826,0.473846984
576.01,408310006,8.86849,5.441794179,5.444462853,0.002521197,0.599149178,0.002363204,0.471529993
465.01,270380593,10.7307,3.836783678,3.83631905,0.004425061,0.894335493,0.004513987,0.466708971
1932.01,386259537,11.3299,5.611461146,5.610266562,0.006241775,0.955893632,0.005899676,0.466341012
1406.01,231736113,11.4266,10.58640864,10.58695888,0.004788496,1.068492838,0.004688438,0.463215349
181.01,76923707,10.4654,4.5330033,4.532086377,0.006639299,0.61561708,0.006044277,0.461995321
766.01,219698950,11.5122,3.446744674,3.447138548,0.01230026,0.606639527,0.01218015,0.458659406
1124.01,128790976,7.2235,3.51890189,3.519743131,0.003693793,0.500735798,0.003864773,0.446717764
777.01,334305570,9.3712,8.300780078,8.298918393,0.002196616,0.812273577,0.002273541,0.443273047
2387.01,237885040,11.8933,5.662166217,5.65935905,0.0062864,1.067423165,0.007298992,0.43919919
2202.01,358107516,12.173,11.80723072,11.63825233,0.014367229,0.681985932,0.014957598,0.436406086
774.01,294301883,11.3473,4.464746475,4.465313723,0.013350478,0.560851339,0.013667541,0.431964863
114.01,25155310,10.6103,3.288778878,3.288741745,0.005435903,0.716839197,0.005788988,0.427421245
1072.01,140830390,11.7106,12.83888389,12.84046078,0.01019516,0.675480204,0.008999969,0.426665989
1611.01,264678534,7.5825,16.93429343,22.11661171,0.000971243,0.712913119,0.000867159,0.423172707
116.01,238176110,11.0443,2.799279928,2.798738695,0.012514269,0.531295289,0.012797483,0.423077942
1431.01,375506058,7.79824,2.651065107,2.649795313,0.004211562,0.487005052,0.004151344,0.422993106
1682.01,367366318,8.14847,2.734923492,2.734422767,0.006620865,0.437976709,0.006630542,0.422988625
683.01,437248515,11.4553,3.405790579,3.405606132,0.012256885,0.537031526,0.011960938,0.4203833
685.01,281731203,9.9623,11.63171317,11.63058212,0.002230586,1.06806094,0.002717471,0.420151715
1520.01,269238073,9.68805,6.126312631,6.258217946,0.003614362,0.70730983,0.003255115,0.418629865
318.01,206352378,13.2316,3.747074707,3.745768501,0.018147963,0.942819067,0.0179989,0.417795273
1717.01,149833117,9.52339,4.053255326,4.053066805,0.006246611,0.503303503,0.006734474,0.417541946
571.01,270468559,11.5598,4.642214221,4.642756917,0.006457858,0.910538229,0.006708488,0.417429239
1337.01,160708862,9.8787,3.345334533,3.345722106,0.009457705,0.464874615,0.009760481,0.416648267
2198.01,100566492,11.117,4.942544254,4.956400298,0.007025643,0.778565708,0.006933252,0.412507886
477.01,170102285,11.7583,2.943594359,2.944231822,0.01568808,0.542689365,0.015791651,0.411257126
476.01,156987351,8.8742,3.062556256,3.062996624,0.005380064,0.638442932,0.00568438,0.404537662
491.01,468987719,12.7656,3.333633363,3.332866545,0.014446432,0.965782208,0.013937229,0.404507333
1296.01,219854185,10.8041,3.945994599,3.945739623,0.005620166,0.712230052,0.00557562,0.399659762
660.01,53189332,10.99,9.289528953,9.290937285,0.005954313,0.694977306,0.005176959,0.399018947
1527.01,202375913,9.6968,5.061506151,5.061488057,0.002325922,0.873544935,0.002586421,0.394571253
