System,Format,Magnitude,Period,Time,Duration,Depth,Ratio
193413306,120sec,9.3529,1.725031931636008,2335.4043577374377,0.15,0.0033697883781081293,1.0603250419272756
1092,20sec,9.0039,1.1923192319231923,2334.6881663764266,0.15,0.0028902762435335113,1.0165739779473026
387079085,120sec,9.0039,1.192368921860683,2334.6887450933773,0.15,0.002938179618255448,1.0165739779473026
1095,20sec,10.4291,1.482898289828983,2308.8590349707815,0.1,0.0015144745295858414,1.0074177879965336
375223080,120sec,10.4291,1.481769171516612,2308.8782247705913,0.1,0.001525708580572459,1.0074177879965336
110,20sec,11.6714,3.173717371737174,2064.4935478035663,0.1,0.014379056666326785,0.9590179074787522
281459670,120sec,11.6714,3.1742049542488,2064.489126519821,0.1,0.013789772835659115,0.9590179074787522
1101,20sec,10.5891,2.6686168616861687,2037.4463276662348,0.05,0.0033497497618948904,0.9891768432971967
271581073,120sec,10.5891,2.6688779363985007,2037.4419063713035,0.05,0.003313494895306724,0.9891768432971967
1107,20sec,10.0068,4.078607860786079,2336.073295646837,0.2,0.005266570453777403,0.9506931938371569
394561119,120sec,10.0068,4.078967707751874,2336.0743373325986,0.2,0.005006892685270044,0.9506931938371569
111,20sec,13.183,2.105010501050105,2063.268634519244,0.05,0.008685780854717266,0.9729637673181213
355703913,120sec,13.183,2.1058316002617365,2063.264213232006,0.05,0.008450950062505323,0.9729637673181213
1110,20sec,9.6789,2.454095409540954,2037.5281315792993,0.1,0.003449623597003825,1.0345307839642464
446549905,120sec,9.6789,2.454371652286741,2037.5284787985684,0.1,0.0035687418041899306,1.0345307839642464
1111,20sec,9.3871,11.47959795979598,2041.6977475933863,0.05,0.007619060222430118,1.006667224676182
412014494,120sec,9.3871,11.477381829092,2041.6983262944968,0.05,0.007669858208754421,1.006667224676182
1112,20sec,9.5162,2.1518151815181517,2038.3052905866753,0.33,0.00025011281673168465,0.9526083889370776
369864738,120sec,9.5162,2.1040613962386336,2036.5958692821978,0.33,0.00023825956739928464,0.9526083889370776
1114,20sec,8.1129,2.4891989198919893,2038.6219455410362,0.1,0.003351125178256833,1.0002546846224418
409934330,120sec,8.1129,2.4889849020905688,2038.622524244475,0.1,0.0033519786583076122,1.0002546846224418
1119,20sec,10.5024,10.96084608460846,2039.1484757493342,0.1,0.002917211489507057,1.0341031822474958
261369656,120sec,10.5024,10.960112685435961,2039.1490544537044,0.1,0.0030166976845882047,1.0341031822474958
112,20sec,11.6035,2.498949894989499,2037.358745422342,0.1,0.0130126789231595,1.0470371401890786
388104525,120sec,11.6035,2.4996054510941645,2037.354324139518,0.1,0.013624758125903622,1.0470371401890786
1120,20sec,10.4063,1.6623162316231623,2037.113483880246,0.15,0.004785883130812128,1.0038738686611783
143257766,120sec,10.4063,1.66271051047499,2037.1090625846161,0.15,0.004804423013488643,1.0038738686611783
1124,20sec,7.2235,3.518901890189019,2037.4634613580722,0.1,0.0036861788970270677,1.058603573818273
128790976,120sec,7.2235,3.5197431309287546,2037.4590400680302,0.1,0.003902202154126354,1.058603573818273
1125,20sec,8.0465,0.773027302730273,2036.4884050852338,0.05,0.00021176636804422872,0.9952171957512281
80166433,120sec,8.0465,0.7726814985728997,2036.4939837928637,0.05,0.0002107535309593998,0.9952171957512281
114,20sec,10.6103,3.2887788778877893,2037.903859635086,0.15,0.005439952819793774,0.9821791418990862
25155310,120sec,10.6103,3.2887417454616754,2037.9044383474306,0.15,0.005343008192516563,0.9821791418990862
1144,20sec,8.5077,4.887938793879388,2420.3762945619073,0.1,0.00335578699144168,0.9282607869691841
